!Num Nome........ Comb Custo... Tipo d1/m1/yy01 d2/m2/yy02 nrep cnt.min. cnt.max. cnt.ini. disp.max traf.max CustoToP
   1 GASNTEBSA       1       0.    0 01/07/2014 12/10/2014    0                0.       0.       0.       0.       0.
   2 GASITEBSBQU     2       0.    0 17/09/2016 10/09/2018    0                0.       0.   99999.       0.       0.
   3 BARRANQUILLA    5       0.    0 17/09/2016 10/09/2018    0                0.       0.   99999.       0.       0.
   4 GAS-PROELE      1       0.    0 01/07/2014 12/10/2014    0                0.       0.       0.       0.       0.
   5 OCG-PROELE      1  11.2824    0 01/07/2014 12/10/2014    0                0.       0.       0.       0.       0.
   6 GASIFLORES      2       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
   7 GAS-FLORES4     1       0.    0 10/12/2015 03/12/2017    0                0.       0.       0.       0.       0.
  10 GASICANDE       2       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  11 TERMOCANDELA    3       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  12 GUAJIRA         4       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  13 GAS-GUAJIRA     1       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  14 CARTAGENA       5       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  15 GAS-CARTA       1       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  16 ZIPA            4       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  17 PAIPA           4       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  18 TASAJERO        4       0.    0 17/09/2016 10/09/2018    0                0.       0.      -1.       0.       0.
  19 GECELCA         4       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  20 TERMOSIERRA     3       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  21 GAS-SIERRA      1       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  22 TERMODORADA     3       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  23 GAS-DORADA      1       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  24 OCG-MERI        1  11.2824    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  25 GAS-EMCALI      1       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  26 TERMOEMCALI     3       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  27 TERMOVALLE      3       0.    0 17/09/2016 10/09/2018    0                0.       0.       0.       0.       0.
  28 GAS-TVALLE      1       0.    0 17/09/2016 10/09/2018    0       0.       0.       0.      -1.       0.       0.
  29 OCG-TCENTRO     1  11.2824    0 02/04/2018 26/03/2020    0                0.       0.       0.       0.       0.
